date,code,tv_rank,vol_rank,ret,drop_pct,close,high,gap_pct,hold_close_pct,is_52w_high,name
2026-03-23,098070,40,120,25.678496868475985,3.215434083601286,60200,62200,-6.976744186046512,-11.627906976744185,True,한텍
2026-03-23,100090,11,30,7.240704500978468,9.421487603305785,27400,30250,0.9124087591240875,-8.576642335766424,False,SK오션플랜트
2026-03-23,217590,49,72,18.432203389830516,3.454231433506045,27950,28950,-1.6100178890876566,-13.416815742397137,True,티엠씨
2026-03-24,000660,2,68,5.680600214362275,0.8048289738430584,986000,994000,3.0425963488843815,0.9127789046653144,False,SK하이닉스
2026-03-24,006400,25,432,5.5776892430278835,1.3647642679900744,397500,403000,0.8805031446540881,1.6352201257861636,False,삼성SDI
2026-03-24,010170,15,10,12.244897959183664,1.1976047904191618,8250,8350,3.0303030303030303,11.15151515151515,True,대한광통신
2026-03-24,036930,7,47,8.251748251748259,9.684947491248542,77400,85700,-0.516795865633075,-4.909560723514212,True,주성엔지니어링
2026-03-24,050890,31,26,7.679870654810017,1.6974169741697416,13320,13550,2.4774774774774775,19.444444444444446,True,쏠리드
2026-03-24,066970,34,206,11.507582515611059,2.7237354085603114,125000,128500,2.4,16.24,False,엘앤에프
2026-03-24,068270,47,348,6.001062134891133,1.9164619164619165,199600,203500,1.2024048096192386,1.9539078156312624,False,셀트리온
2026-03-24,082920,46,73,12.006861063464846,9.806629834254144,32650,36200,-2.6033690658499236,9.80091883614089,True,비츠로셀
2026-03-24,086520,24,196,6.733524355300857,2.1667760998030205,149000,152300,1.6107382550335572,1.5436241610738255,False,에코프로
2026-03-24,178320,11,44,11.186440677966104,3.149606299212598,49200,50800,0.6097560975609756,-0.40650406504065045,True,서진시스템
2026-03-24,196170,50,562,7.564296520423608,1.1126564673157162,355500,359500,-0.9845288326300985,0.8438818565400843,False,알테오젠
2026-03-24,240810,22,159,15.920826161790025,2.6030368763557483,134700,138300,0.8166295471417966,-3.192279138827023,True,원익IPS
2026-03-24,373220,18,364,10.25280898876404,0.0,392500,392500,-0.12738853503184713,0.3821656050955414,False,LG에너지솔루션
