date,time,name,setup,buy_score,dist_high,recent_5m,consec_bull,race,mfe,mae,cur_hold_s,cur_pnl,cur_reason,mat_hold_s,mat_pnl,mat_reason
05-19,09:46,흥아해운,breakout,6.0,0.0,0.7233273056057866,3,up,4.129263913824058,-0.5385996409335727,6.000022,0.0,E2_bearish_div,532.000019,4.129263913824058,bearish_candle
05-19,09:56,흥아해운,chase,8.0,-0.1724137931034483,4.324324324324325,4,down,0.690846286701209,-3.454231433506045,44.000058,-0.5181347150259068,E2_bearish_div,365.843107,-2.0,stop_-2%
05-19,10:21,흥아해운,chase,5.0,0.0,3.368794326241135,3,down,1.7152658662092626,-4.288164665523156,131.99997,-1.3722126929674099,E3_vol_drain,144.000059,-2.0,stop_-2%
05-19,10:32,흥아해운,breakout,6.0,-0.6745362563237773,2.4347826086956523,3,down,-0.1697792869269949,-5.432937181663837,112.000048,-2.0,stop_-2%,112.000048,-2.0,stop_-2%
05-19,14:37,삼성전자,chase,5.0,0.0,0.8064516129032258,4,neither,0.08888888888888889,-1.3333333333333335,165.999981,0.08888888888888889,E2_bearish_div,1799.99996,-0.9777777777777777,eow
05-19,09:33,진원생명과학,pullback,5.0,-2.562225475841874,-2.562225475841874,1,up,2.1788129226145756,-4.7332832456799405,5.999896,0.5259203606311045,E3_vol_drain,443.999867,0.0,trailing
05-19,09:43,진원생명과학,pullback,5.5,-2.9282576866764276,-0.9708737864077669,3,down,3.0165912518853695,-4.374057315233785,203.999978,-2.0,stop_-2%,203.999978,-2.0,stop_-2%
05-19,10:01,진원생명과학,pullback,5.5,-5.856515373352855,-0.9244992295839755,2,up,6.2208398133748055,0.15552099533437014,314.000022,3.421461897356143,E3_vol_drain,682.000008,6.2208398133748055,target_prevhigh
05-19,10:13,진원생명과학,pullback,6.5,-1.390922401171303,0.2232142857142857,3,neither,1.4105419450631032,-1.2620638455827766,69.999962,-0.6681514476614699,E3_vol_drain,11.999983,1.4105419450631032,target_prevhigh
05-19,10:28,진원생명과학,pullback,6.5,-1.0980966325036603,0.3714710252600297,3,neither,1.1102886750555145,-0.44411547002220575,1799.999964,1.1102886750555145,eow,89.999967,1.1102886750555145,target_prevhigh
05-19,11:24,진원생명과학,breakout,5.5,-0.8052708638360175,-0.440852314474651,2,down,0.36900369003690037,-3.985239852398524,643.999992,-2.0,stop_-2%,643.999992,-2.0,stop_-2%
05-19,11:42,진원생명과학,pullback,5.5,-1.0248901903367496,0.5952380952380952,2,down,0.591715976331361,-4.068047337278107,101.999923,0.14792899408284024,E2_bearish_div,717.999993,-2.0,stop_-2%
05-19,11:56,진원생명과학,pullback,5.0,-3.806734992679356,-2.37741456166419,2,neither,1.5220700152207,-1.2937595129375952,531.99996,1.21765601217656,E2_bearish_div,6.000022,-0.076103500761035,ma5_break
05-19,12:07,진원생명과학,pullback,5.0,-2.562225475841874,0.4528301886792453,4,down,0.2253944402704733,-3.4560480841472576,40.000001,0.2253944402704733,E2_bearish_div,207.770195,-2.0,stop_-2%
05-19,12:35,진원생명과학,pullback,6.5,-3.001464128843338,1.2223071046600458,2,neither,1.509433962264151,-1.6603773584905661,26.0,0.1509433962264151,E3_vol_drain,1795.999982,0.1509433962264151,eow
05-19,12:53,진원생명과학,pullback,5.5,-2.049780380673499,1.4404852160727823,3,down,0.523168908819133,-2.8400597907324365,75.98232,0.0,E2_bearish_div,729.982363,-2.0,stop_-2%
05-19,13:31,진원생명과학,pullback,5.5,-2.4158125915080526,0.37650602409638556,3,up,2.4756189047261814,-1.6504126031507877,81.99959,0.3750937734433608,E3_vol_drain,905.999543,2.4756189047261814,target_prevhigh
