date,time,name,setup,buy_score,dist_high,recent_5m,consec_bull,race,mfe,mae,cur_hold_s,cur_pnl,cur_reason,mat_hold_s,mat_pnl,mat_reason
05-20,09:34,주성엔지니어링,pullback,5.5,-5.373831775700935,-1.2195121951219512,2,up,3.950617283950617,-4.54320987654321,4.069411,-0.24691358024691357,E3_vol_drain,4.069411,-0.24691358024691357,ma5_break
05-20,09:44,주성엔지니어링,pullback,7.0,-3.2710280373831773,0.7299270072992701,2,down,1.2077294685990339,-6.6183574879227045,38.001627,0.24154589371980675,E4_bearish_candle,228.004607,-0.7246376811594203,trailing
05-20,10:16,주성엔지니어링,none,5.0,-6.682242990654205,1.8877551020408163,3,up,2.6539809714571856,-4.757135703555333,191.99425,0.9013520280420632,E3_vol_drain,397.986864,0.9013520280420632,trailing
05-20,11:09,주성엔지니어링,none,5.0,-7.149532710280374,1.1710794297352343,4,down,0.25163563160543534,-5.988928032209361,3.983993,-0.10065425264217413,E1_vp<100,144.062741,-2.0,stop_-2%
05-20,12:28,주성엔지니어링,none,5.5,-10.233644859813085,0.6286013619696176,3,neither,1.8740239458615304,-0.7808433107756376,3.987497,0.10411244143675169,E1_vp<100,1798.022101,0.3643935450286309,trailing
05-20,09:35,한미반도체,pullback,5.0,-1.340033500837521,0.17006802721088435,3,down,0.1697792869269949,-2.886247877758913,26.004962,-0.6791171477079796,E3_vol_drain,177.956788,-2.0,stop_-2%
05-20,10:56,한미반도체,pullback,6.0,-1.340033500837521,0.6837606837606838,3,up,2.037351443123939,-0.1697792869269949,43.897038,0.1697792869269949,E3_vol_drain,737.897051,1.3582342954159592,target_prevhigh
05-20,13:38,한미반도체,pullback,5.0,-3.6605657237936775,0.34662045060658575,1,neither,0.0,-1.2089810017271159,1397.99622,-0.3454231433506045,E3_vol_drain,1794.022884,-0.8635578583765112,eow
05-20,13:51,한미반도체,pullback,5.0,-3.9933444259567388,0.34782608695652173,1,neither,0.17331022530329288,-0.8665511265164645,633.999855,0.0,E3_vol_drain,1794.015289,-0.34662045060658575,eow
05-20,10:26,우리로,chase,5.0,0.0,8.415841584158416,5,up,3.0821917808219177,-4.337899543378995,3.9981970000000002,0.228310502283105,E1_vp<100,197.998834,0.228310502283105,trailing
05-20,13:22,우리로,none,5.5,-8.637873754152823,1.8518518518518516,4,up,2.4242424242424243,-0.6060606060606061,4.000119,-0.12121212121212122,E1_vp<100,202.007324,0.36363636363636365,trailing
05-20,14:51,우리로,none,5.5,-9.080841638981173,0.4895960832313341,3,up,2.92326431181486,0.0,4.002028,0.0,E1_vp<100,876.008527,1.3398294762484775,trailing
05-20,09:01,대우건설,breakout,6.0,-0.36429872495446264,,0,down,1.2797074954296161,-5.850091407678245,105.976339,0.18281535648994515,E2_bearish_div,135.976432,-0.5484460694698354,trailing
05-20,13:20,한국첨단소재,pullback,5.0,-2.491103202846975,1.107011070110701,3,up,2.3722627737226274,-0.7299270072992701,4.029577,0.0,E1_vp<100,737.960703,0.7299270072992701,trailing
05-20,09:05,아이로보틱스,chase,5.0,0.0,14.34108527131783,4,up,9.265536723163843,-3.954802259887006,4.041157,-0.3389830508474576,E1_vp<100,207.997205,4.858757062146893,trailing
05-20,09:01,한성크린텍,breakout,7.5,0.0,,0,up,11.176470588235295,1.411764705882353,162.019942,5.176470588235294,E2_bearish_div,174.013685,3.5294117647058822,trailing
05-20,09:18,한성크린텍,pullback,5.0,-1.2208067940552019,5.022573363431151,3,down,1.5583019881783988,-5.480924234282644,25.998994,-2.0,stop_-2%,25.998994,-2.0,stop_-2%
05-20,09:01,오텍,breakout,7.0,-0.9673518742442563,,0,down,5.006105006105006,-5.372405372405373,21.967833,-0.4884004884004884,E3_vol_drain,21.967833,-0.4884004884004884,trailing
05-20,09:11,오텍,breakout,6.0,-0.12077294685990338,2.0987654320987654,3,up,3.990326481257558,-8.222490931076178,5.979562,0.9673518742442563,E3_vol_drain,160.019363,1.9347037484885126,trailing
05-20,09:45,오텍,none,5.0,-6.279069767441861,4.947916666666666,4,up,2.8535980148883375,-3.225806451612903,17.986939,0.37220843672456577,E3_vol_drain,117.998933,0.0,trailing
05-20,09:29,하나마이크론,breakout,7.0,0.0,2.9743589743589745,2,down,0.199203187250996,-6.872509960159362,4.020263,0.0,E2_bearish_div,38.003334,-0.199203187250996,bearish_candle
05-20,10:10,하나마이크론,pullback,5.0,-2.4353876739562623,3.0987394957983194,5,down,0.6113092205807438,-2.6999490575649516,3.979795,-0.05094243504839531,E1_vp<100,939.994467,-2.0,stop_-2%
05-20,10:56,하나마이크론,pullback,5.0,-2.3856858846918487,1.5511892450879008,4,neither,0.6109979633401221,-1.120162932790224,3.897015,0.10183299389002036,E1_vp<100,1043.897041,-0.7128309572301426,eow
05-20,09:51,빛과전자,breakout,6.0,0.0,,0,down,7.920792079207921,-2.8712871287128716,158.052121,-2.0,stop_-2%,158.052121,-2.0,stop_-2%
05-20,10:24,빛과전자,chase,5.0,-0.5504587155963303,4.230769230769231,4,up,8.118081180811808,-0.18450184501845018,28.0463,0.18450184501845018,E3_vol_drain,382.056493,6.088560885608856,trailing
05-20,10:36,빛과전자,pullback,5.0,-2.3890784982935154,0.7042253521126761,3,down,1.2237762237762237,-4.020979020979021,3.977683,0.0,E3_vol_drain,474.052985,-0.6993006993006993,trailing
05-20,12:46,빛과전자,none,5.0,-9.215017064846416,2.9013539651837523,4,down,-0.37593984962406013,-2.819548872180451,3.999594,-0.37593984962406013,E1_vp<100,298.025061,-2.0,stop_-2%
05-20,13:19,빛과전자,none,5.0,-8.532423208191126,1.7077798861480076,2,up,5.970149253731343,-0.18656716417910446,3.974936,0.18656716417910446,E1_vp<100,622.005681,4.291044776119403,trailing
05-20,09:01,제주반도체,breakout,7.0,0.0,,0,down,0.6,-7.3999999999999995,22.015219,-2.0,stop_-2%,22.015219,-2.0,stop_-2%
05-20,09:11,제주반도체,pullback,5.0,-1.6898608349900597,1.644398766700925,5,down,0.0,-6.370070778564206,11.979845,-0.3033367037411527,E2_bearish_div,131.983315,-2.0,stop_-2%
05-20,11:16,제주반도체,pullback,5.0,-4.075546719681909,3.2085561497326207,4,down,0.41450777202072536,-6.010362694300518,3.9641,0.0,E1_vp<100,583.964907,-2.0,stop_-2%
